text,label
"In this document, section 4.3.1.3 (1) Financing and Investment Transactions Prohibited Regardless of Sector lists projects for which we prohibit any financing or investment. Sections 4.3.1.3 (2) Financing and Investment Transactions which Require Additional Due Diligence Regardless of Sector and 4.3.1.3 (3) Policies on Specific Industrial Sectors describe our practices for determining whether to engage in transactions with clients/projects in subject sectors, accounting for the degree to which the client has taken steps to avoid or mitigate risk and other due diligence as appropriate, based on the characteristics of the services we are providing.",1
"In the event that we identify any unlawful act during the term of a transaction, we urge the client to take immediate remedial measures. In the event that the client has not taken appropriate measures to address social issues, we undertake engagement with the client to promote remedial measures and, if the client's remedial measures are unsatisfactory, we suspend new financing and investment.",1
"Paper BlackRock set a 2020 paper reduction target of 25% in October 2017. As of year-end 2019, BlackRock has reduced paper use globally by 44%. We attribute this reduction to heightening of employee awareness, swipe technology, and standard double-sided print settings on all copiers.",0
"64 exclusion lists of companies and countries, drawn up and updated periodically, with the help of an independent expert advisor. These lists include companies involved in controversial weapons and countries with high risk of violating human rights, which are automatically excluded from the list of companies in which BBVA can invest.",1
"In 2018, our Robo Investment Subsidiary Wealthify launched an ethical investment option, focused on four ethical/SRI funds. Interest from customers has grown steadily with 25% of new customers selecting the ethical option. This now accounts for 13% of total assets under allocation for Wealthify and growing.",0
"Equator Principles (EP) within the scope covered by this initiative. Moreover, Societe Generale has voluntarily expanded the scope of application of the EP to include a range of transactions likely to present E&S challenges, such as equity capital market transactions, debt capital market transactions, mergers and acquisitions, and acquisition financing. Even beyond this scope, any financial transaction entered into by Corporate and Investment Banking involves the identification of any E&S risks relating to the client, other than financial institutions.",0
Anticipated major impacts on the Group There are risks that the Group becomes unable to continue its business operations due to a disaster that strikes our head office or branch offices and a risk of the increase in costs due to countermeasures and recoveries.,0
"The global economic system as we know it is undergoing transformation.­ This­ is­ also­ affecting­ agriculture.­ Globalization­ and digitalization have become key issues in the industry, alongside agricultural developments. The spread of protection- ism and disruptive policy are posing challenges to CLAAS, which over time has built strong international networks and relies­on­global­value­chains.­Digitalization­continues­to­offer­a­ major opportunity to master the requirements of the future by developing new solutions. All of these driving forces, whether new­or­old,­will­influence­CLAAS as a company in the future. Even in a volatile environment, the goal remains to achieve profitable­ growth.­ CLAAS has focused its strategy on the following four strategic focal points so that it can take on a leading global role as a manufacturer of agricultural equipment moving forward.",1
"During 2019, we continued our focus on optimizing our solid waste business, developing our people and investing in technology to better serve our customers. We produced strong operating results from our collection and disposal business, and these results demonstrate that that we are investing in the right areas and driving the right behaviors. This positive 2019 performance continues to position management to execute on the strategic long-term growth goals of the Company through investments in our employees, technology, and asset network.",1
"Creating value Measuring our reputation KPI FY19 FY18 FY17 FY16 FY15 AGL‘s Reptrak score declined since FY18. The drop in AGL‘s reputation over the past year has been driven by declining scores on three important dimensions of reputation – leadership, workplace and citizenship. This decline in reputation was consistent with scores across the energy industry as a whole.",1
"In light of the massive changes seen in the operating environ- ment, the group revised its material issues for the first time in a decade to clarify the priorities it should emphasize in pursuing sustainable growth over the next century.",1
"Supply Chain Risk Assessment We have established a process to identify key supplier risk factors and determine how to mitigate those factors. We observe and check the progress of the supplier risk profile over a period of time. We methodically examine the supplier risk profile for the purpose of explanation and interpretation. A risk profile is established for the supplier and the overall category. In this way, we continually assess the strengths and weaknesses of our suppliers, and the impact these could have on our business.",0
