text,label
"By means of the Ekos Social platform, built in partnership with the Ekos Brazil Institute, it is possible to learn about the participating projects and pick the project of your choice for the purchase of carbon credits.",1
"A global product line was co-built with other Group business lines (Arval, BNP Paribas Rental Solutions and BNP Paribas Leasing Solutions, and the Group's partner Economie D'Energie (EDE)) centred on three of the company's areas of focus in order to reduce energy use: real estate, transport and mobility, and non-real es- tate assets.",1
"Our generation capacity represents approximately 14 per cent of Australia's total NEM. We have a slightly lower proportion of coal than the NEM average and we continue to grow our share of wind and solar renewables. We have less hydro than the NEM average, reflecting the significance of the government-owned Snowy Hydro scheme. We also have a higher proportion of gas, which serves as more reliable, dispatchable ('firming') capacity for the market as coal is retired and renewable generation increases.",1
"Sustainable Development Goals ('SDGs') Analytics In 2020, Trucost launched a Sustainable Development Goal analytics tool allowing financial institutions to assess portfolio alignment to the UN Sustainable Development Goals (SDGs). Trucost's Sustainable Development Goal analysis tool is an extension of Trucost's Sustainable Development Goal Evaluation tool launch in 2018 to help companies align business strategies with the goals. The Sustainable Development Goals are a global blueprint adopted by the world's governments to achieve a better and more sustainable future for all.",0
"In regard to public policy risks, S&P Global monitors and engages on relevant developments globally through its Government Affairs function. The Company has established internal governance and reporting frameworks to identify, analyze, elevate, and engage on public policy risks and opportunities, including those associated with climate and environmental policy, sustainable finance, and related legislative initiatives.",1
"For separate account clients, we make this data available directly to the client upon request. In addition to supporting our clients in considering climate and other sustainability-related risks to which a given fund may be subject, making this data available to our clients supports our clients' abilities to report Greenhouse gas emissions data for their investments. On pages 39 and 40, we provide an example of the product-level disclosure provided to clients.",2
"At the request of the Board's Responsible Banking, Sustainability and Culture Committee and the Board Supervision, Regulation and Compliance Committee, a joint session was held to review the current and emerging risks in the oil & gas and mining & steel portfolios of the Santander Group. This provided a good opportunity to deliberate the issues facing these sectors with independent board members that brought complementary skills and approaches to the discussion.",2
"Now, these older coal and gas plants are being shuttered in the UK and being replaced by intermittent renewable energy sources, principally wind. This reduces carbon emissions but makes the provision of these system support services more challenging. Wind, by its nature, is intermittent and, for the most part, unable to provide system support services.",2
"For a more detailed explanation of how our performance this year has been impacted by weather, please refer to page 41. Also, information on our carbon emissions and renewable energy generation can be found in section 31.",2
"For example, in 2019 CN spent $0.9 billion on the acquisition of 154 efficient highhorsepower locomotives, as well as fuel conservation practices, such as locomotive shutdowns in yards, streamlined railcar handling, train pacing, coasting and braking strategies.",1
