text,label
"The engagement is driving improved conversations with our customers about climate change risks, allowing us to make more informed lending decisions and policies. Over time we expect more of our customers to report on their transition plans. We also intend for discussions on climate-related risks and opportunities to become part of regular discussions with all Institutional and corporate customers.",1
"Our Integris Global Equity portfolios exclude companies that have material connections to certain controversial industries, e.g. fossil fuels, tobacco and weapons. We also exclude companies that score the worst overall ESG score (‘CCC’) as calculated by an independent external ESG research company, MSCI ESG Research, and at the end of December 2018, there were 174 companies excluded from the portfolios as a result of this ESG screen.",0
"25 large Dutch banks, insurers and pension funds are particularly exposed to these risks, these financial institutions have not yet sufficiently integrated them into their business operations. For example, they invest EUR 97 billion in shares of companies operating in areas with significant water scarcity and EUR 56 billion in companies dependent on scarce resources.",0
"Sustainable Development Goals ('SDGs') Analytics In 2020, Trucost launched a Sustainable Development Goal analytics tool allowing financial institutions to assess portfolio alignment to the UN Sustainable Development Goals (SDGs). Trucost's Sustainable Development Goal analysis tool is an extension of Trucost's Sustainable Development Goal Evaluation tool launch in 2018 to help companies align business strategies with the goals. The Sustainable Development Goals are a global blueprint adopted by the world's governments to achieve a better and more sustainable future for all.",1
"For separate account clients, we make this data available directly to the client upon request. In addition to supporting our clients in considering climate and other sustainability-related risks to which a given fund may be subject, making this data available to our clients supports our clients' abilities to report Greenhouse gas emissions data for their investments. On pages 39 and 40, we provide an example of the product-level disclosure provided to clients.",0
"In 2019, and continuing throughout 2020, we have rolled-out a comprehensive climate change training programme. In 2019 we published an internal briefing paper focused on climate change science facts, its geopolitical and macro- economical implications, as well as commercial impacts on companies. This provided the basis for a training session attended by over 200 staff in Head Quarters. This training has now been converted into an on-line course which has now been shared with local units to incorporate as part of their training programmes. Further training activities are currently being planned including additional awareness raising and specific topics on business opportunities.",0
"Origin has a robust risk-based inspection and infrastructure integrity program that is designed to manage venting and minimise leaks. It includes an annual maintenance program for wellheads and surface facilities, and testing of pipework and vessels. We continue to focus on our gas monitoring program, aiming to reduce our reliance on regulatory emission factors. This monitoring data also informs decisions about whether to retrofit or change the design of new infrastructure to reduce emissions.",1
"oil demand will peak globally around 2020 at 97 Mb/d, and in almost all Coun- tries before 2030 (except India and Sub-Saharan Africa). The only growing sector is the petrochemical industry. Half of the car fleet in 2040 will be elec- tric and internal combustion cars will be 40% more efficient than today. Almost 20% of the fuels used by trucks will have low or zero carbon content. A quarter of the bus fleet will be electric;",1
"We currently source 18 percent of our energy from alternative fuels, low- carbon fuels and biomass. In some of our operations, we have been able to meet 90 percent of our energy requirements with alternative fuels, but we also acknowledge our potential to increase this rate significantly in the coming years. (See further information on our Geocycle operations on page 31).",0
"Over the past few years, we have taken steps to facilitate a shift towards improved access to public transport for employees (buses, commuter trains) and carpooling. Our carpooling initiative now has over 1 Lakh registered users across locations. Around 22.7 Million kms of rides were shared in the reporting year saving 4900 tons of CO",0
